A,B,C,grid_loc
29,2,3,"0,B"
29,3,3,"0,B"
29,3,3,"0,B"
29,4,3,"0,B"
29,6,3,"0,B"
29,6,3,"0,B"
29,4,3,"0,B"
29,5,5,"0,B"
22,3,4,"0,B"
22,3,4,"0,B"
28,3,2,"0,B"
28,7,2,"0,B"
28,3,2,"0,B"
28,3,6,"0,B"
28,4,6,"0,B"
28,8,6,"0,B"
28,3,6,"0,B"
28,4,6,"0,B"
28,8,6,"0,B"
28,4,6,"0,B"
28,4,6,"0,B"
28,4,6,"0,B"
28,4,6,"0,B"
28,3,6,"0,B"
28,3,6,"0,B"
28,3,6,"0,B"
28,2,6,"0,B"
28,4,6,"0,B"
28,5,6,"0,B"
28,5,4,"0,B"
28,5,4,"0,B"
28,3,4,"0,B"
28,4,4,"0,B"
28,3,4,"0,B"
28,5,4,"0,B"
28,6,4,"0,B"
28,3,4,"0,B"
28,3,4,"0,B"
28,6,4,"0,B"
28,9,4,"0,B"
28,5,4,"0,B"
28,4,4,"0,B"
