A,B,C,grid_loc
8,4,3,"0,D"
8,4,7,"0,D"
9,0,7,"0,D"
9,0,7,"0,D"
9,5,7,"0,D"
9,4,7,"0,D"
9,4,7,"0,D"
9,3,7,"0,D"
9,2,7,"0,D"
9,2,7,"0,D"
9,2,3,"0,D"
9,2,5,"0,D"
9,2,5,"0,D"
9,2,9,"0,D"
9,2,4,"0,D"
9,2,4,"0,D"
9,2,6,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
9,2,5,"0,D"
9,2,3,"0,D"
13,2,3,"0,D"
7,5,3,"0,D"
7,4,3,"0,D"
8,2,4,"0,D"
9,3,4,"0,D"
9,3,2,"0,D"
9,3,2,"0,D"
9,5,2,"0,D"
9,5,2,"0,D"
9,5,2,"0,D"
9,3,2,"0,D"
9,2,2,"0,D"
9,2,2,"0,D"
9,3,2,"0,D"
9,3,2,"0,D"
9,3,2,"0,D"
9,2,2,"0,D"
9,2,2,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
9,2,4,"0,D"
9,2,4,"0,D"
9,2,4,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
7,2,3,"0,D"
8,2,3,"0,D"
8,3,3,"0,D"
8,5,3,"0,D"
8,3,3,"0,D"
8,4,3,"0,D"
8,3,3,"0,D"
8,2,3,"0,D"
8,3,3,"0,D"
8,2,3,"0,D"
8,6,3,"0,D"
