A,B,C,grid_loc
22,6,6,"1,A"
22,5,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,5,6,"1,A"
22,5,3,"1,A"
22,5,3,"1,A"
17,6,7,"1,A"
21,6,7,"1,A"
21,9,7,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,7,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,6,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,5,3,"1,A"
21,5,3,"1,A"
21,3,3,"1,A"
21,5,3,"1,A"
21,5,4,"1,A"
21,5,4,"1,A"
21,7,3,"1,A"
21,3,3,"1,A"
20,3,3,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,3,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,5,"1,A"
20,4,2,"1,A"
20,4,2,"1,A"
9,4,2,"1,A"
