A,B,C,grid_loc
18,5,5,"1,C"
18,8,5,"1,C"
18,5,5,"1,C"
18,5,5,"1,C"
18,5,5,"1,C"
18,5,6,"1,C"
18,5,6,"1,C"
18,5,3,"1,C"
18,7,5,"1,C"
18,5,5,"1,C"
18,5,5,"1,C"
18,6,7,"1,C"
18,7,7,"1,C"
18,7,7,"1,C"
18,7,6,"1,C"
18,7,8,"1,C"
18,11,8,"1,C"
18,8,6,"1,C"
18,8,5,"1,C"
18,8,5,"1,C"
18,8,6,"1,C"
18,8,5,"1,C"
15,5,5,"1,C"
15,5,6,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,7,"1,C"
15,8,6,"1,C"
15,8,8,"1,C"
15,8,6,"1,C"
15,8,6,"1,C"
15,7,6,"1,C"
15,7,6,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
15,7,7,"1,C"
15,7,6,"1,C"
15,7,6,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
