A,B,C,grid_loc
7,5,12,"2,E"
7,5,12,"2,E"
7,5,12,"2,E"
7,5,12,"2,E"
7,5,12,"2,E"
7,5,12,"2,E"
7,5,12,"2,E"
7,5,12,"2,E"
7,9,12,"2,E"
7,9,12,"2,E"
7,9,12,"2,E"
7,9,12,"2,E"
7,9,12,"2,E"
7,9,12,"2,E"
7,9,12,"2,E"
9,5,11,"2,E"
7,5,11,"2,E"
7,5,11,"2,E"
8,5,11,"2,E"
8,4,11,"2,E"
9,4,11,"2,E"
9,4,9,"2,E"
9,9,9,"2,E"
9,7,9,"2,E"
9,6,9,"2,E"
9,5,9,"2,E"
9,6,9,"2,E"
9,7,9,"2,E"
9,5,9,"2,E"
9,7,9,"2,E"
9,7,9,"2,E"
9,7,9,"2,E"
9,7,7,"2,E"
9,8,7,"2,E"
9,4,7,"2,E"
9,5,7,"2,E"
9,4,7,"2,E"
9,5,7,"2,E"
9,6,7,"2,E"
9,4,7,"2,E"
9,7,7,"2,E"
9,6,7,"2,E"
9,6,7,"2,E"
7,7,7,"2,E"
7,7,8,"2,E"
7,7,8,"2,E"
7,7,6,"2,E"
7,6,6,"2,E"
