A,B,C,grid_loc
19,3,5,"0,A"
19,3,5,"0,A"
19,3,5,"0,A"
19,4,5,"0,A"
19,4,5,"0,A"
19,4,5,"0,A"
19,4,5,"0,A"
19,4,5,"0,A"
19,2,5,"0,A"
19,3,3,"0,A"
19,3,3,"0,A"
19,3,4,"0,A"
19,2,4,"0,A"
19,2,4,"0,A"
19,2,4,"0,A"
19,3,4,"0,A"
19,3,4,"0,A"
19,3,4,"0,A"
19,6,5,"0,A"
19,17,5,"0,A"
19,17,4,"0,A"
19,17,4,"0,A"
29,17,4,"0,A"
29,17,4,"0,A"
29,17,8,"0,A"
29,17,8,"0,A"
29,17,5,"0,A"
29,17,4,"0,A"
29,17,4,"0,A"
29,4,4,"0,A"
29,3,4,"0,A"
29,3,4,"0,A"
29,3,4,"0,A"
25,3,3,"0,A"
25,3,3,"0,A"
25,4,3,"0,A"
25,4,4,"0,A"
25,4,6,"0,A"
25,4,3,"0,A"
25,4,4,"0,A"
25,4,4,"0,A"
25,4,3,"0,A"
25,4,3,"0,A"
25,2,3,"0,A"
25,2,3,"0,A"
25,8,3,"0,A"
25,5,3,"0,A"
32,2,3,"0,A"
32,2,3,"0,A"
32,3,3,"0,A"
32,3,3,"0,A"
32,3,3,"0,A"
32,4,3,"0,A"
32,4,3,"0,A"
32,4,3,"0,A"
32,3,3,"0,A"
32,3,3,"0,A"
32,3,7,"0,A"
32,3,3,"0,A"
32,3,3,"0,A"
32,3,3,"0,A"
32,3,4,"0,A"
32,3,4,"0,A"
32,3,3,"0,A"
32,3,3,"0,A"
32,2,3,"0,A"
32,2,3,"0,A"
29,2,3,"0,B"
29,3,3,"0,B"
29,3,3,"0,B"
29,4,3,"0,B"
29,6,3,"0,B"
29,6,3,"0,B"
29,4,3,"0,B"
29,5,5,"0,B"
22,3,4,"0,B"
22,3,4,"0,B"
28,3,2,"0,B"
28,7,2,"0,B"
28,3,2,"0,B"
28,3,6,"0,B"
28,4,6,"0,B"
28,8,6,"0,B"
28,3,6,"0,B"
28,4,6,"0,B"
28,8,6,"0,B"
28,4,6,"0,B"
28,4,6,"0,B"
28,4,6,"0,B"
28,4,6,"0,B"
28,3,6,"0,B"
28,3,6,"0,B"
28,3,6,"0,B"
28,2,6,"0,B"
28,4,6,"0,B"
28,5,6,"0,B"
28,5,4,"0,B"
28,5,4,"0,B"
28,3,4,"0,B"
28,4,4,"0,B"
28,3,4,"0,B"
28,5,4,"0,B"
28,6,4,"0,B"
28,3,4,"0,B"
28,3,4,"0,B"
28,6,4,"0,B"
28,9,4,"0,B"
28,5,4,"0,B"
28,4,4,"0,B"
12,0,3,"0,C"
14,4,5,"0,C"
14,5,5,"0,C"
14,5,5,"0,C"
14,3,5,"0,C"
14,5,5,"0,C"
14,3,5,"0,C"
14,4,5,"0,C"
14,3,5,"0,C"
14,2,5,"0,C"
14,4,5,"0,C"
14,3,5,"0,C"
14,4,5,"0,C"
14,3,5,"0,C"
14,5,5,"0,C"
14,3,5,"0,C"
14,4,5,"0,C"
13,3,5,"0,C"
13,4,5,"0,C"
13,3,5,"0,C"
13,4,5,"0,C"
13,4,5,"0,C"
13,4,3,"0,C"
13,4,4,"0,C"
13,3,3,"0,C"
13,3,3,"0,C"
13,4,3,"0,C"
13,3,3,"0,C"
13,3,3,"0,C"
13,3,3,"0,C"
13,4,3,"0,C"
13,4,3,"0,C"
13,5,3,"0,C"
13,5,3,"0,C"
8,4,3,"0,D"
8,4,7,"0,D"
9,0,7,"0,D"
9,0,7,"0,D"
9,5,7,"0,D"
9,4,7,"0,D"
9,4,7,"0,D"
9,3,7,"0,D"
9,2,7,"0,D"
9,2,7,"0,D"
9,2,3,"0,D"
9,2,5,"0,D"
9,2,5,"0,D"
9,2,9,"0,D"
9,2,4,"0,D"
9,2,4,"0,D"
9,2,6,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
9,2,5,"0,D"
9,2,3,"0,D"
13,2,3,"0,D"
7,5,3,"0,D"
7,4,3,"0,D"
8,2,4,"0,D"
9,3,4,"0,D"
9,3,2,"0,D"
9,3,2,"0,D"
9,5,2,"0,D"
9,5,2,"0,D"
9,5,2,"0,D"
9,3,2,"0,D"
9,2,2,"0,D"
9,2,2,"0,D"
9,3,2,"0,D"
9,3,2,"0,D"
9,3,2,"0,D"
9,2,2,"0,D"
9,2,2,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
9,2,4,"0,D"
9,2,4,"0,D"
9,2,4,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
9,2,3,"0,D"
7,2,3,"0,D"
8,2,3,"0,D"
8,3,3,"0,D"
8,5,3,"0,D"
8,3,3,"0,D"
8,4,3,"0,D"
8,3,3,"0,D"
8,2,3,"0,D"
8,3,3,"0,D"
8,2,3,"0,D"
8,6,3,"0,D"
10,14,4,"0,E"
10,14,4,"0,E"
10,14,5,"0,E"
10,5,5,"0,E"
10,5,5,"0,E"
10,5,4,"0,E"
10,6,4,"0,E"
10,6,4,"0,E"
10,5,4,"0,E"
10,5,7,"0,E"
10,5,7,"0,E"
10,3,7,"0,E"
10,4,7,"0,E"
10,4,7,"0,E"
9,5,7,"0,E"
7,5,7,"0,E"
7,5,7,"0,E"
7,5,4,"0,E"
7,5,3,"0,E"
7,5,3,"0,E"
7,5,5,"0,E"
7,5,3,"0,E"
7,5,3,"0,E"
7,5,3,"0,E"
7,5,4,"0,E"
7,5,4,"0,E"
7,7,4,"0,E"
7,6,4,"0,E"
7,6,4,"0,E"
7,4,4,"0,E"
7,4,4,"0,E"
7,4,4,"0,E"
7,8,4,"0,E"
22,6,6,"1,A"
22,5,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,6,6,"1,A"
22,5,6,"1,A"
22,5,3,"1,A"
22,5,3,"1,A"
17,6,7,"1,A"
21,6,7,"1,A"
21,9,7,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,7,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,6,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,4,6,"1,A"
21,5,3,"1,A"
21,5,3,"1,A"
21,3,3,"1,A"
21,5,3,"1,A"
21,5,4,"1,A"
21,5,4,"1,A"
21,7,3,"1,A"
21,3,3,"1,A"
20,3,3,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,3,"1,A"
20,4,4,"1,A"
20,4,4,"1,A"
20,4,5,"1,A"
20,4,2,"1,A"
20,4,2,"1,A"
9,4,2,"1,A"
14,9,4,"1,B"
14,8,4,"1,B"
14,6,4,"1,B"
14,6,4,"1,B"
14,8,4,"1,B"
14,6,4,"1,B"
14,6,4,"1,B"
14,8,5,"1,B"
14,9,5,"1,B"
14,9,5,"1,B"
14,9,5,"1,B"
14,9,5,"1,B"
14,9,5,"1,B"
14,9,5,"1,B"
14,9,5,"1,B"
21,5,4,"1,B"
21,5,5,"1,B"
21,6,5,"1,B"
21,6,5,"1,B"
21,6,5,"1,B"
21,6,4,"1,B"
21,6,4,"1,B"
21,6,3,"1,B"
21,6,3,"1,B"
18,6,4,"1,B"
18,6,4,"1,B"
18,6,8,"1,B"
18,6,6,"1,B"
18,6,4,"1,B"
18,6,4,"1,B"
18,6,4,"1,B"
18,6,4,"1,B"
18,6,5,"1,B"
18,6,8,"1,B"
18,6,4,"1,B"
18,6,4,"1,B"
18,6,5,"1,B"
18,6,3,"1,B"
18,6,5,"1,B"
18,6,4,"1,B"
18,6,4,"1,B"
18,6,6,"1,B"
18,7,6,"1,B"
18,7,6,"1,B"
18,7,7,"1,B"
18,7,6,"1,B"
18,7,6,"1,B"
18,7,5,"1,B"
18,7,5,"1,B"
18,7,5,"1,B"
18,7,4,"1,B"
18,7,7,"1,B"
18,7,7,"1,B"
18,5,5,"1,C"
18,8,5,"1,C"
18,5,5,"1,C"
18,5,5,"1,C"
18,5,5,"1,C"
18,5,6,"1,C"
18,5,6,"1,C"
18,5,3,"1,C"
18,7,5,"1,C"
18,5,5,"1,C"
18,5,5,"1,C"
18,6,7,"1,C"
18,7,7,"1,C"
18,7,7,"1,C"
18,7,6,"1,C"
18,7,8,"1,C"
18,11,8,"1,C"
18,8,6,"1,C"
18,8,5,"1,C"
18,8,5,"1,C"
18,8,6,"1,C"
18,8,5,"1,C"
15,5,5,"1,C"
15,5,6,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,5,"1,C"
15,8,6,"1,C"
15,8,6,"1,C"
15,8,5,"1,C"
15,8,7,"1,C"
15,8,6,"1,C"
15,8,8,"1,C"
15,8,6,"1,C"
15,8,6,"1,C"
15,7,6,"1,C"
15,7,6,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
15,7,7,"1,C"
15,7,6,"1,C"
15,7,6,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
15,7,5,"1,C"
20,12,14,"1,D"
19,12,14,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,12,"1,D"
19,12,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
19,6,11,"1,D"
14,6,11,"1,D"
14,6,11,"1,D"
12,6,11,"1,D"
12,6,11,"1,D"
12,6,11,"1,D"
12,4,11,"1,D"
9,5,11,"1,D"
9,5,11,"1,D"
9,5,11,"1,D"
9,5,11,"1,D"
9,9,8,"1,E"
9,9,5,"1,E"
9,6,5,"1,E"
9,6,5,"1,E"
9,6,7,"1,E"
9,6,7,"1,E"
9,6,7,"1,E"
9,6,5,"1,E"
7,6,5,"1,E"
7,6,5,"1,E"
7,6,5,"1,E"
7,6,5,"1,E"
7,6,5,"1,E"
7,6,8,"1,E"
9,6,9,"1,E"
9,6,7,"1,E"
9,6,7,"1,E"
9,6,7,"1,E"
9,8,7,"1,E"
9,9,7,"1,E"
9,9,7,"1,E"
9,6,7,"1,E"
9,8,7,"1,E"
9,8,7,"1,E"
9,5,7,"1,E"
9,8,7,"1,E"
9,8,7,"1,E"
9,5,7,"1,E"
9,5,7,"1,E"
9,5,7,"1,E"
9,5,7,"1,E"
9,4,7,"1,E"
9,4,7,"1,E"
9,5,7,"1,E"
9,6,7,"1,E"
9,6,7,"1,E"
8,6,7,"1,E"
8,6,3,"1,E"
8,6,3,"1,E"
8,6,3,"1,E"
8,6,5,"1,E"
8,6,5,"1,E"
8,6,5,"1,E"
8,4,5,"1,E"
8,4,5,"1,E"
8,4,5,"1,E"
8,12,7,"2,A"
8,12,7,"2,A"
5,10,7,"2,A"
5,9,7,"2,A"
5,9,5,"2,A"
5,7,5,"2,A"
9,7,5,"2,A"
9,9,5,"2,A"
9,9,7,"2,A"
9,9,7,"2,A"
7,9,7,"2,A"
7,9,9,"2,A"
8,9,9,"2,A"
8,9,7,"2,A"
8,9,9,"2,A"
7,9,9,"2,A"
7,9,9,"2,A"
7,8,9,"2,A"
7,8,9,"2,A"
7,9,9,"2,A"
7,8,9,"2,A"
7,8,7,"2,A"
7,8,7,"2,A"
8,8,7,"2,A"
6,8,7,"2,A"
6,8,8,"2,A"
6,9,8,"2,A"
6,8,8,"2,A"
6,9,8,"2,A"
6,9,8,"2,A"
7,9,6,"2,A"
6,9,6,"2,A"
6,9,6,"2,A"
8,9,9,"2,A"
8,7,9,"2,A"
9,6,9,"2,B"
8,6,8,"2,B"
8,6,8,"2,B"
8,6,7,"2,B"
8,8,7,"2,B"
8,8,7,"2,B"
8,8,7,"2,B"
8,8,7,"2,B"
8,8,7,"2,B"
8,8,7,"2,B"
8,8,7,"2,B"
8,8,9,"2,B"
8,9,9,"2,B"
8,9,9,"2,B"
8,9,9,"2,B"
7,9,9,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
5,12,0,"2,B"
7,9,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,14,"2,B"
5,10,8,"2,B"
5,10,8,"2,B"
5,10,7,"2,B"
7,10,7,"2,B"
7,10,7,"2,B"
4,6,7,"2,C"
6,6,7,"2,C"
9,6,7,"2,C"
9,6,7,"2,C"
9,6,9,"2,C"
8,6,9,"2,C"
8,6,9,"2,C"
8,6,9,"2,C"
8,8,9,"2,C"
8,8,0,"2,C"
8,9,0,"2,C"
8,9,0,"2,C"
8,9,6,"2,C"
8,9,9,"2,C"
7,9,9,"2,C"
7,8,8,"2,C"
7,8,8,"2,C"
7,8,8,"2,C"
6,8,8,"2,C"
7,9,8,"2,C"
8,9,8,"2,C"
8,6,8,"2,C"
8,8,8,"2,C"
7,8,8,"2,C"
6,8,8,"2,C"
7,8,8,"2,C"
6,8,8,"2,C"
4,8,8,"2,C"
9,8,8,"2,C"
8,8,8,"2,C"
7,8,8,"2,C"
7,8,8,"2,C"
9,8,8,"2,C"
6,6,8,"2,C"
6,5,8,"2,C"
6,5,8,"2,C"
6,6,8,"2,C"
6,6,8,"2,C"
6,6,8,"2,C"
6,6,5,"2,C"
6,9,5,"2,C"
6,9,5,"2,C"
6,7,5,"2,C"
6,8,7,"2,C"
6,8,7,"2,C"
6,6,7,"2,C"
6,8,7,"2,C"
6,8,7,"2,C"
6,8,7,"2,C"
7,8,7,"2,C"
7,8,7,"2,C"
7,8,7,"2,C"
5,7,7,"2,D"
5,9,7,"2,D"
5,9,7,"2,D"
5,7,7,"2,D"
5,7,7,"2,D"
5,7,7,"2,D"
5,7,8,"2,D"
5,8,8,"2,D"
5,7,8,"2,D"
5,9,8,"2,D"
5,7,8,"2,D"
5,6,8,"2,D"
6,6,8,"2,D"
8,6,8,"2,D"
8,8,8,"2,D"
7,8,8,"2,D"
6,8,8,"2,D"
8,8,8,"2,D"
5,8,8,"2,D"
5,8,8,"2,D"
6,8,8,"2,D"
6,7,8,"2,D"
8,7,8,"2,D"
5,7,8,"2,D"
